Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres
The Sitter (2011),30441326,4500862,25000000.0,Twentieth Century Fox,R,81,Comedy
Killer Elite (2011),25124966,31959556,70000000.0,Open Road Films (II),R,116,Action;Crime;Thriller
Season of the Witch (2011),24827228,66800000,40000000.0,Relativity Media,PG-13,95,Action;Adventure;Fantasy
Our Idiot Brother (2011),24816118,988330,5000000.0,The Weinstein Company,R,90,Comedy;Drama
Don't Be Afraid of the Dark (2011),24046682,14222847,25000000.0,FilmDistrict,R,99,Adventure;Fantasy;Horror;Thriller
Sanctum (2011),23209310,85400000,30000000.0,Universal Pictures,R,108,Action;Adventure;Drama;Thriller
Monte Carlo (2011),23186769,16595914,20000000.0,Twentieth Century Fox,PG,109,Adventure;Comedy;Family;Romance
Your Highness (2011),21596445,6417288,49900000.0,Universal Pictures,R,102,Adventure;Comedy;Fantasy;Romance
Mars Needs Moms (2011),21392758,17840920,150000000.0,Walt Disney Studios Motion Pictures,PG,88,Action;Adventure;Animation;Family;Sci-Fi
Dream House (2011),21302340,18682060,50000000.0,Universal Pictures,PG-13,84,Drama;Mystery;Thriller
Conan the Barbarian (2011),21295021,42228262,90000000.0,Lionsgate,R,113,Action;Adventure;Fantasy
The Three Musketeers (2011),20374484,111900000,75000000.0,Summit Entertainment,PG-13,110,Action;Adventure;Fantasy;History;Romance;Thriller
Country Strong (2010),20218921,310273,15000000.0,Screen Gems,PG-13,117,Drama;Music
The Eagle (2011),19490041,18499643,25000000.0,Focus Features,PG-13,114,Action;Adventure;Drama;History;War
Shark Night (2011),18877153,22486774,25000000.0,Relativity Media,PG-13,90,Horror;Thriller
Fright Night (2011),18302607,22700000,30000000.0,Walt Disney Studios Motion Pictures,R,106,Comedy;Horror
Apollo 18 (2011),17687709,8548444,5000000.0,Dimension Films,PG-13,86,Horror;Mystery;Sci-Fi;Thriller
The Thing (2011),16928670,14576617,38000000.0,Universal Pictures,R,103,Horror;Mystery;Sci-Fi
African Cats (2011),15428747,15429000,,Walt Disney Studios Motion Pictures,,89,Adventure;Documentary
Born to Be Wild (2011),25978556,15665919,,Warner Bros.,,40,Adventure;Documentary;Short
Judy Moody and the Not Bummer Summer (2011),15013650,677990,20000000.0,Relativity Media,PG,93,Comedy;Family
What's Your Number? (2011),14011084,16415012,20000000.0,Twentieth Century Fox,R,106,Comedy;Romance
One Day (2011),13843771,45545662,15000000.0,Focus Features,PG-13,107,Drama;Romance
Warrior (2011),13657115,9651500,25000000.0,Lionsgate,PG-13,140,Action;Drama;Sport
The Tree of Life (2011),13303319,45105928,32000000.0,Fox Searchlight Pictures,PG-13,139,Drama;Fantasy
The Rum Diary (2011),13109815,17025143,45000000.0,FilmDistrict,R,119,Comedy;Drama
Glee: The 3D Concert Movie (2011),11862398,6800840,9000000.0,Twentieth Century Fox,PG,84,Documentary;Music
The Darkest Hour (2011),21443494,43183292,30000000.0,Summit Entertainment,PG-13,89,Action;Adventure;Horror;Sci-Fi;Thriller
The Conspirator (2011),11538204,4084979,25000000.0,Roadside Attractions,PG-13,122,Crime;Drama;History
Young Adult (2011),16311571,6627456,12000000.0,Paramount Pictures,R,94,Comedy;Drama
Jane Eyre (2011),11242660,23467967,,Focus Features,PG-13,120,Drama;Romance
Drive Angry (2011),10721033,30188876,,Summit Entertainment,R,104,Action;Fantasy;Thriller
Straw Dogs (2011),10324441,844271,25000000.0,Screen Gems,R,110,Action;Drama;Thriller
Win Win (2011),10179275,1610338,,Fox Searchlight Pictures,R,106,Comedy;Drama;Sport
Hoodwinked Too! Hood vs. Evil (2011),10143779,13024065,,The Weinstein Company,PG,87,Animation;Comedy;Crime;Family;Mystery
Prom (2011),10130219,572027,8000000.0,Walt Disney Studios Motion Pictures,PG,104,Comedy;Drama;Family;Romance
I Don't Know How She Does It (2011),9662284,21747867,24000000.0,The Weinstein Company,PG-13,89,Comedy;Romance
Blue Valentine (2010),9706328,5186090,1000000.0,The Weinstein Company,R,112,Drama;Romance
My Week with Marilyn (2011),14600347,20457349,,The Weinstein Company,R,99,Biography;Drama
Johnny English Reborn (2011),8305970,151772616,45000000.0,Universal Pictures,PG,101,Action;Adventure;Comedy
Kevin Hart: Laugh at My Pain (2011),7706436,7706436,,Codeblack Entertainment,R,89,Comedy;Documentary
Elle s'appelait Sarah (2011),7693187,17099628,,The Weinstein Company,PG-13,111,Drama;War
The Big Year (2011),7204138,975278,41000000.0,Twentieth Century Fox,PG,102,Comedy
Take Me Home Tonight (2011),6928068,622005,,Relativity Media,R,114,Comedy;Drama;Romance
Cedar Rapids (2011),6861102,867834,,Fox Searchlight Pictures,R,87,Comedy
Beginners (2011),5790894,8520807,3200000.0,Focus Features,R,105,Comedy;Drama;Romance
Cave of Forgotten Dreams (2011),5304920,2878427,,IFC Films,,90,Documentary;History
Margin Call (2011),5354039,14150000,3500000.0,Roadside Attractions,R,107,Drama;Thriller
Biutiful (2011),5101237,20046549,,Roadside Attractions,R,148,Drama;Romance
Atlas Shrugged: Part I (2011),4627375,4627375,20000000.0,Rocky Mountain Pictures,PG-13,97,Drama;Mystery;Sci-Fi
The Artist (2011),44671682,88761174,15000000.0,The Weinstein Company,PG-13,100,Comedy;Drama;Romance
Anonymous (2011),4463292,10931795,30000000.0,Sony Pictures Entertainment (SPE),PG-13,130,Drama;Thriller
The Company Men (2011),4441272,3645728,15000000.0,The Weinstein Company,R,104,Drama
Seven Days in Utopia (2011),4373074,4373074,,Visio Entertainment,G,100,Drama;Sport
The Way (2011),4430765,4007107,,Producers Distribution Agency,,123,Comedy;Drama
Tinker Tailor Soldier Spy (2011),24149393,57095212,,Focus Features,R,122,Drama;Mystery;Thriller
Like Crazy (2011),3395391,336098,,Paramount Vantage,PG-13,86,Drama;Romance
The King's Speech (2011),3344306,30909,15000000.0,The Weinstein Company,R,118,Biography;Drama;History
